resId,rating,date,descreption,gId
257,8,06/06/2024,aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper.,216
247,1,20/07/2025,"at augue id ante dictum cursus. Nunc mauris elit, dictum",897
95,1,12/09/2025,"dui, semper et, lacinia vitae, sodales at, velit. Pellentesque ultricies",305
129,9,17/06/2024,"rhoncus. Donec est. Nunc ullamcorper, velit in aliquet lobortis, nisi",862
985,2,04/01/2025,"in aliquet lobortis, nisi nibh lacinia orci, consectetuer euismod est",115
895,8,25/06/2024,"augue ut lacus. Nulla tincidunt, neque vitae semper egestas, urna",763
389,5,23/02/2026,semper auctor. Mauris vel turpis. Aliquam adipiscing lobortis risus. In,840
728,2,01/12/2025,ipsum nunc id enim. Curabitur massa. Vestibulum accumsan neque et,592
279,4,12/07/2025,"vulputate dui, nec tempus mauris erat eget ipsum. Suspendisse sagittis.",615
806,0,11/03/2025,neque pellentesque massa lobortis ultrices. Vivamus rhoncus. Donec est. Nunc,419
65,2,27/11/2025,Vivamus non lorem vitae odio sagittis semper. Nam tempor diam,236
528,7,17/10/2024,Duis a mi fringilla mi lacinia mattis. Integer eu lacus.,320
810,4,15/11/2024,Sed eu nibh vulputate mauris sagittis placerat. Cras dictum ultricies,900
359,7,28/12/2025,"vel, faucibus id, libero. Donec consectetuer mauris id sapien. Cras",33
863,10,12/02/2025,varius. Nam porttitor scelerisque neque. Nullam nisl. Maecenas malesuada fringilla,265
515,10,13/02/2026,sed turpis nec mauris blandit mattis. Cras eget nisi dictum,119
183,5,18/10/2024,eu neque pellentesque massa lobortis ultrices. Vivamus rhoncus. Donec est.,425
165,5,11/10/2024,risus. Donec egestas. Aliquam nec enim. Nunc ut erat. Sed,361
214,4,10/02/2026,"ligula consectetuer rhoncus. Nullam velit dui, semper et, lacinia vitae,",511
821,2,19/07/2025,"ligula elit, pretium et, rutrum non, hendrerit id, ante. Nunc",721
234,5,19/02/2025,"Sed nunc est, mollis non, cursus non, egestas a, dui.",975
438,1,17/07/2025,Curae Donec tincidunt. Donec vitae erat vel pede blandit congue.,898
998,8,18/04/2025,"ad litora torquent per conubia nostra, per inceptos hymenaeos. Mauris",876
812,1,28/09/2024,mauris. Morbi non sapien molestie orci tincidunt adipiscing. Mauris molestie,111
33,6,08/11/2025,"tempus scelerisque, lorem ipsum sodales purus, in molestie tortor nibh",115
